ASIN,seller_name,selling_price,FBA,star_rating,positive,total_reviews
B01M268TS3,Hot-Spot,$25.19,-,4.5,92%,1220
B01M268TS3,Mr. Medical,$25.20,-,5,99%,209766
B01M268TS3,SmileMedic,$26.33,-,5,96%,13796
B01M268TS3,Royal Meds,$26.59,FBA,5,97%,47525
B01M268TS3,ABC WHOLESALE,$26.60,FBA,5,99%,49201
B01M268TS3,Express Brands,$28.42,FBA,5,100%,1228
B01M268TS3,Half Price,$29.00,FBA,5,100%,14814
B01IAI54OA,Pharmapacks,$23.50,-,5,97%,895275
B01IAI54OA,I Buy Direct,$23.85,-,4.5,90%,21374
B01IAI54OA,Vitabox,$25.27,-,5,99%,564
B01IAI54OA,Prestige Care Pharmacy Inc.,$24.06,-,5,96%,7810
B01IAI54OA,Commerce Market,$34.61,-,4,74%,21657
B01IAI54OA,From IDEAL,$32.99,-,5,98%,7255
B00N5D250C,zhamza,$16.00,-,5,98%,1062
B01DWVKQ2A,OTC Drugstore Online,$122.90,-,5,98%,345
B01DWVKQ2A,Royal Meds,$129.70,-,5,97%,47525
B01DWVKQ2A,OTCRx4u,$129.72,-,4.5,92%,101600
B01DWVKQ2A,Daily Savings,$124.53,-,4,80%,2535
B07L1PHSY9,TowerHomeCenters,$10.88,FBA,5,97%,911
B07L1PHSY9,Amazon.com,$10.88,-,-,-,-
B07L1PHSY9,The Buy Boxx,$13.00,-,5,99%,2073
B07L1PHSY9,xssential,$13.06,-,4.5,87%,1026
B07L1PHSY9,Smile Always,$13.95,FBA,5,98%,763
B07L1PHSY9,OTCRx4u,$14.80,-,4.5,92%,101600
B07L1PHSY9,Pharmapacks,$14.88,-,5,97%,895275
B07L1PHSY9,NYHealthbeauty,$15.92,-,4.5,89%,28911
B07L1PHSY9,OTC Super Store,$15.99,FBA,5,98%,1425
B07L1PHSY9,Health Tree,$16.63,-,4.5,89%,10189
B07L1PHSY9,ERP Pharmacy,$16.95,-,4.5,94%,108
B07L1PHSY9,GoodBye Retail,$16.99,-,4.5,94%,3166
B07L1PHSY9,Vitabox,$17.45,-,5,99%,564
B07L1PHSY9,overstockdrugstore,$17.55,-,4.5,88%,14109
B07L1PHSY9,AllThatUNeed,$17.75,-,5,97%,2051
B07L1PHSY9,Commerce Market,$18.32,-,4,74%,21657
B07L1PHSY9,Stam Sales,$18.99,FBA,5,99%,10975
B07L1PHSY9,Relyon Pharmacy,$20.34,-,4.5,94%,2314
B07L1PHSY9,FOREVER DEALS,$14.88,-,4.5,93%,24118
B07L1PHSY9,OTC Shoppe Express,$21.95,-,4.5,87%,49
B07L1PHSY9,Pharmapacks,$14.88,-,5,97%,895275
B07L1PHSY9,GoodBye Retail,$17.99,-,4.5,94%,3166
B07L1PHSY9,Commerce Market,$18.32,-,4,74%,21657
B07L1PHSY9,Stam Sales,$18.99,FBA,5,99%,10975
B07L1PHSY9,Rios Pharmacy,$20.70,-,4.5,93%,69
B07L1PHSY9,Barnes Health Care,$16.99,-,4.5,95%,9656
B07L1PHSY9,Hometown Pharmacy,$25.79,-,4.5,91%,548
B07L1PHSY9,KU BEAUTY,$27.50,FBA,5,99%,2999
B07L1PHSY9,KU BEAUTY,$28.80,FBA,5,99%,2999
B07L1PHSY9,Bigsavingz,$24.03,-,5,96%,1288
